Time,Unix,Aggregate,Appliance1,Appliance2,Appliance3,Appliance4,Appliance5,Appliance6,Appliance7,Appliance8,Appliance9
2013-10-09 13:11:17,1381324277,805,71,0,0,0,0,0,0,0,1
2013-10-09 13:11:28,1381324288,845,71,0,0,0,0,0,0,0,1
2013-10-09 13:11:30,1381324290,845,72,0,0,0,0,0,0,0,1
2013-10-09 13:11:32,1381324292,845,72,0,0,0,0,0,0,0,1
2013-10-09 13:11:44,1381324304,881,71,0,0,0,0,0,0,0,1
2013-10-09 13:11:46,1381324306,938,71,0,0,0,0,0,0,0,1
2013-10-09 13:11:59,1381324319,924,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:01,1381324321,924,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:13,1381324333,1293,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:15,1381324335,1293,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:17,1381324337,1310,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:28,1381324348,1321,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:30,1381324350,1321,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:32,1381324352,1361,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:44,1381324364,1401,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:46,1381324366,1401,71,0,0,0,0,0,0,0,1
2013-10-09 13:12:59,1381324379,1398,71,0,0,0,0,0,0,0,1
2013-10-09 13:13:01,1381324381,1398,71,0,0,0,0,0,0,0,1
2013-10-09 13:13:13,1381324393,1452,70,0,0,0,0,0,0,0,1
2013-10-09 13:13:15,1381324395,1452,71,0,0,0,0,0,0,0,1
2013-10-09 13:13:18,1381324398,1452,71,0,0,0,0,0,0,0,1
2013-10-09 13:13:28,1381324408,1452,70,0,0,0,0,0,0,0,1
2013-10-09 13:13:30,1381324410,1452,70,0,0,0,0,0,0,0,1
2013-10-09 13:13:32,1381324412,1452,70,0,0,0,0,0,0,0,1
2013-10-09 13:13:44,1381324424,1396,71,0,0,0,0,0,0,0,1
2013-10-09 13:13:47,1381324427,1396,70,0,0,0,0,0,0,0,1
2013-10-09 13:13:59,1381324439,1388,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:01,1381324441,1385,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:13,1381324453,1377,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:16,1381324456,1387,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:18,1381324458,1387,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:28,1381324468,1303,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:30,1381324470,1303,69,0,0,0,0,0,0,0,1
2013-10-09 13:14:32,1381324472,1303,69,0,0,0,0,0,0,0,1
2013-10-09 13:14:45,1381324485,1322,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:47,1381324487,1327,70,0,0,0,0,0,0,0,1
2013-10-09 13:14:59,1381324499,1373,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:01,1381324501,1373,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:14,1381324514,1392,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:16,1381324516,1392,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:17,1381324517,1392,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:28,1381324528,1378,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:30,1381324530,1378,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:32,1381324532,1398,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:44,1381324544,1360,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:46,1381324546,1360,70,0,0,0,0,0,0,0,1
2013-10-09 13:15:59,1381324559,1279,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:01,1381324561,1279,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:14,1381324574,1338,70,0,0,0,0,0,0,0,1
2013-10-09 13:16:15,1381324575,1338,70,0,0,0,0,0,0,0,1
2013-10-09 13:16:17,1381324577,1338,70,0,0,0,0,0,0,0,1
2013-10-09 13:16:28,1381324588,1354,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:30,1381324590,1329,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:31,1381324591,1329,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:44,1381324604,1376,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:46,1381324606,1376,69,0,0,0,0,0,0,0,1
2013-10-09 13:16:59,1381324619,1445,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:01,1381324621,1445,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:13,1381324633,1309,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:15,1381324635,1346,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:18,1381324638,1346,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:28,1381324648,1322,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:30,1381324650,1322,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:32,1381324652,1322,69,0,0,0,0,0,0,0,1
2013-10-09 13:17:44,1381324664,1386,68,0,0,0,0,0,0,0,1
2013-10-09 13:17:47,1381324667,1386,68,0,0,0,0,0,0,0,1
2013-10-09 13:17:59,1381324679,1433,69,0,0,0,0,0,0,0,1
2013-10-09 13:18:01,1381324681,1286,69,0,0,0,0,0,0,0,1
2013-10-09 13:18:13,1381324693,1269,69,0,0,0,0,0,0,0,1
2013-10-09 13:18:16,1381324696,1269,68,0,0,0,0,0,0,0,1
2013-10-09 13:18:17,1381324697,1269,68,0,0,0,0,0,0,0,1
2013-10-09 13:18:28,1381324708,1260,68,0,0,0,0,0,0,0,1
2013-10-09 13:18:30,1381324710,1260,68,0,0,0,0,0,0,0,1
2013-10-09 13:18:31,1381324711,1260,68,0,0,0,0,0,0,0,1
2013-10-09 13:18:45,1381324725,1723,68,0,0,0,0,0,0,0,1
2013-10-09 13:18:46,1381324726,1723,69,0,0,0,0,0,0,0,1
2013-10-09 13:18:59,1381324739,1723,69,0,0,0,0,0,0,0,1
2013-10-09 13:19:00,1381324740,1723,69,0,0,0,0,0,0,0,1
2013-10-09 13:19:14,1381324754,1842,69,0,0,0,0,0,0,0,1
2013-10-09 13:19:15,1381324755,1842,69,0,0,0,0,0,0,0,1
2013-10-09 13:19:17,1381324757,1842,68,0,0,0,0,0,0,0,1
2013-10-09 13:19:28,1381324768,1833,47,0,0,0,0,0,0,0,1
2013-10-09 13:19:29,1381324769,1833,47,0,0,0,0,0,0,0,1
2013-10-09 13:19:32,1381324772,1787,47,0,0,0,0,0,0,0,1
2013-10-09 13:19:44,1381324784,1627,0,0,0,0,0,0,0,0,1
2013-10-09 13:19:46,1381324786,1666,0,0,0,0,0,0,0,0,1
2013-10-09 13:19:58,1381324798,1763,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:01,1381324801,1763,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:13,1381324813,1947,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:15,1381324815,1947,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:18,1381324818,1923,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:27,1381324827,1884,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:30,1381324830,1912,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:32,1381324832,1912,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:44,1381324844,1828,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:47,1381324847,1828,0,0,0,0,0,0,0,0,1
2013-10-09 13:20:59,1381324859,1614,0,0,0,0,0,0,0,0,1
2013-10-09 13:21:01,1381324861,1614,0,0,0,0,0,0,0,0,1
